metab,sperm60,sperm84,sperm90,sperm92,sperm104,sperm105,sperm110,sperm119,sperm123,sperm131,sperm132,sperm144,sperm151,sperm154,sperm155,sperm160,sperm164,sperm169,sperm177
N-Acetylleucine,448.8441019,1385.506124,99.88176223,294.6373589,1074.481679,944.1205271,236.1754793,1378.222123,326.3042299,692.8250423,403.4919607,1109.255112,633.1062936,248.7301099,312.6949963,190.2225736,932.2965753,410.3139864,347.8261471
Paraxanthine,187438.581,892355.9837,91.22597286,292031.8327,560295.1505,152173.3674,101721.6966,268131.4671,25232.05292,409769.453,102856.5237,115107.3765,168081.2603,209696.6082,104879.0342,251350.1216,388589.5696,604268.9426,147313.8393
N-Acetylphenylalanine,882.036145,1336.145231,110.422211,564.8130198,1466.507946,722.2356116,331.0784997,1156.795331,730.774555,934.2499492,739.064862,1590.628158,513.1886889,418.5722921,334.5735906,479.9973685,1245.992632,1150.20948,751.6407795
Dihydrouracil,519.1599629,706.9071549,266.7188039,192.0232703,581.8841508,551.6965297,234.1290038,904.0833718,360.5414903,707.2956262,271.6439059,782.8748256,252.367644,264.9681651,160.7747306,258.0852768,884.3239966,762.5589498,475.2182991
Nicotinate,1.318631324,437.0884793,965.4645777,13381.40972,57802.27498,25014.68147,0.477482441,59838.30067,4830.212264,3012.802494,2452.666442,43836.62418,1376.476421,400.0615071,107.2257575,484.5442595,17404.0162,5137.19025,243.1903614
Nicotinamide,660649.696,521456.4393,346837.2967,87790.65356,436953.4753,262806.3347,157728.792,59716.50791,84413.73027,665900.7293,381104.4577,226597.2168,265583.9094,163555.9355,100728.4737,210591.8573,414164.6773,650043.6685,413660.6308
4-Acetamidobutanoate,1393421.762,714300.8657,279085.7388,529447.592,1030583.894,893375.3018,237079.191,872857.7391,467093.2488,981332.9803,585376.3705,896239.8538,424162.4609,485243.361,233201.8246,715782.6198,1240058.6,1069914.227,399960.0188
N-Acetylanine,19004.90647,30716.71638,7339.622711,10418.10797,17507.21225,16308.9981,9645.864187,23097.27032,11293.33669,38294.54387,29266.705,28672.63989,9953.19541,6123.951113,6879.705652,11403.35814,26712.28585,21269.5649,16555.96739
4-Pyridoxate,128775.7937,139983.3208,17095.92272,42284.81776,82077.02082,66484.11975,30928.6442,114902.6126,34658.69121,154358.928,34424.77183,149020.2182,112916.7531,480732.3199,38057.15448,57390.23656,127831.3246,109953.7458,41219.14157
Methylthioadenosine,88201.52336,66829.18942,18983.32195,46679.5771,125402.5638,62938.62634,30373.44519,104663.1865,46090.41695,127931.9038,68273.23591,147186.1126,57172.88425,38138.99292,25945.2318,63394.01286,164425.9581,124320.7837,87506.42701
Niacine,10766.18398,14320.64102,6879.03769,6709.56962,108555.3747,156494.4305,7213.417,249780.34,47122.26184,49713.22261,178858.8807,55001.88894,91514.16888,50506.73624,11848.44336,3779.391266,23211.25088,62447.55282,7474.950185
Glycochenodeoxycholate,15102.92619,30877.2643,6747.213813,3276.464795,2464.9545,14305.3595,5606.991507,2298.108214,4918.187659,19253.40954,816.163831,12834.58285,1391.698637,1738.075438,3241.381619,27728.7018,2834.040705,7558.693515,13728.774
Stearoylcarnitine,161344.787,182827.5703,63322.16198,45039.35186,84211.97822,146711.0667,37455.08692,90431.90126,33941.75364,168046.0239,50730.84568,156687.1494,54800.18386,39283.66556,31479.48805,120789.3869,60595.78423,152960.5169,154890.038
Palmitoylcarnitine,456419.8353,359408.014,206502.7805,68588.84163,195360.3638,318978.0527,94024.08857,236996.6942,72531.67269,405726.5086,120990.1266,283195.5391,117234.1861,109885.953,81926.90079,210647.2571,111064.6317,353437.6404,271765.4711
Acetylcholine,1279.671429,2238.217174,733.1405872,250.0799257,724.6096443,674.6082578,607.9361354,2511.798268,423.3804386,1932.437666,933.8776681,3015.108854,1318.84409,414.4707936,742.5886632,1110.984988,1893.55366,1975.804673,1124.578139
Myristoylcarnitine,188043.3579,83921.3945,45355.47166,17093.86388,32771.57701,60056.55506,27585.8949,48712.34795,20791.11838,73261.42831,40526.96375,65504.19466,20943.72046,37883.4436,17842.5199,51242.27087,18212.13129,64801.46217,54809.55308
Lauroylcarnitine,79516.54578,69813.15375,20806.95835,21445.57437,15560.35905,40748.11529,38397.87806,21679.44336,15072.15408,52790.01321,23855.54787,70452.68275,27787.061,22218.81842,12612.14013,36854.45991,19122.15324,45238.45394,37390.87356
