id,sperm60,sperm84,sperm90,sperm92,sperm104,sperm105,sperm110,sperm119,sperm123,sperm131,sperm132,sperm144,sperm151,sperm154,sperm155,sperm160,sperm164,sperm169,sperm177
Prevotella,0.000884956,0.000204415,0.283454988,0.000800801,0.005863324,0.532488433,0,0.296393841,0.375101215,0.001213347,0.349173554,0.530538198,0.339050408,0.464565307,0.001166589,0,0.000409333,0.510339289,0.001435897
Corynebacterium,0.056637168,0.007154538,0.009326845,0.003403403,0.002426203,0.000201167,0.00227649,0.055915721,0.019635628,0.019615774,0.046694215,0.000604717,0.097259987,0.003914297,0.082594494,0.064319153,0.001637331,0.004015258,0.007794872
Lactobacillus,0.669247788,0.48364677,0.004460665,0.249449449,0.532349373,0,0.195157285,0.000810373,0.000607287,0.437613751,0,0.009675469,0,0.000206016,0.21535231,0.350498677,0.563037249,0.004416784,0.667692308
Planococcaceae;g,0.018141593,0.067865904,0,0.0002002,0.000808734,0.000201167,0.066639073,0.057941653,0.000404858,0.010920121,0.000619835,0.005442451,0.000418323,0.000824063,0.03779748,0.416649705,0.000613999,0.014053403,0.030974359
Staphylococcus,0.003982301,0.390228945,0.000405515,0,0.000202184,0,0.623344371,0.01458671,0.001214575,0.053791709,0.003099174,0.000604717,0.004601548,0,0.006766216,0.041522491,0.000409333,0.000200763,0.001230769
Veillonella,0.000221239,0,0,0,0.118277396,0,0.001448675,0.000202593,0.000202429,0.003437816,0,0.000201572,0.075507216,0.120519159,0.001166589,0,0.000204666,0.000401526,0.000205128
Streptococcus,0.004646018,0.001430908,0,0,0.003032754,0,0.030836093,0.00060778,0.002226721,0.0380182,0.001652893,0.001209434,0.013595482,0.003090235,0.016332245,0.037451659,0,0,0.010051282
Finegoldia,0,0.001022077,0.011759935,0.0002002,0.002021836,0.003017502,0,0.008711507,0.007489879,0,0.018801653,0.000403145,0.079690441,0.012566955,0.108959403,0.042540199,0,0.004015258,0.006564103
Haemophilus,0,0,0.000202758,0.0002002,0,0,0,0,0.000404858,0.295045501,0.000619835,0,0.0761347,0,0.000233318,0,0.000818666,0,0
Burkholderia,0,0,0.007704785,0,0.057420137,0,0,0,0,0,0,0,0,0.000206016,0.000466636,0,0,0.004416784,0.208205128
Delftia,0.004867257,0.001226492,0.000608273,0,0.003032754,0,0.005587748,0.000202593,0.000404858,0.002426694,0.012396694,0.002620439,0.007948128,0.012360939,0.162389174,0.00753104,0.007777323,0.000602289,0.019692308
Campylobacter,0,0,0.026561233,0.0002002,0.002224019,0.14685174,0,0.09643436,0.15951417,0.000202224,0.20661157,0,0.022798578,0.001030078,0,0,0,0,0.000205128
Gardnerella,0.063495575,0.006132461,0,0.284484484,0.108976951,0,0,0,0,0.024469161,0.000826446,0.330981657,0,0.218582612,0,0,0.318870242,0.017466372,0
Ureaplasma,0.041814159,0.029640229,0.000202758,0.045245245,0.14557218,0,0,0,0.000404858,0.07057634,0,0.102197138,0.000209161,0.018541409,0,0,0.06467458,0.023890785,0
Fusobacterium,0,0,0.00243309,0.0002002,0,0.000402334,0,0.001012966,0.000809717,0,0.054132231,0,0.081363731,0,0.000233318,0,0,0,0
Actinomyces,0,0,0.004257908,0.0002002,0,0.002615168,0,0.003444084,0.000202429,0,0.003719008,0,0.013386321,0.001236094,0.010965936,0.007123957,0,0.045773941,0
Enterobacteriaceae;g,0,0,0,0,0,0,0,0,0,0,0,0.000403145,0,0,0,0,0,0,0
Dialister,0,0,0.106042174,0,0.000202184,0.133574733,0,0.043354943,0.065384615,0,0.143181818,0,0.015268772,0.056654306,0,0.000203542,0,0.003212206,0.001641026
Peptoniphilus,0,0,0.084955393,0,0.000404367,0.007845504,0.001862583,0.037682334,0.062145749,0,0.052479339,0.000806289,0.043923865,0.019983519,0.029864676,0.000203542,0,0.000803052,0.004717949
Propionibacterium,0,0.003679477,0.001216545,0,0.000202184,0,0.004966887,0,0.000809717,0.001415571,0.003512397,0.003628301,0.005438193,0.001648125,0.038730751,0.001628333,0.002660663,0.000200763,0.003692308
Enterococcus,0,0,0,0,0,0.001207001,0.010968543,0,0.000202429,0,0,0,0.002091613,0,0,0,0,0,0.008
Comamonadaceae;g,0.005752212,0.000204415,0,0.0002002,0.001819652,0.000201167,0,0,0.000202429,0.000202224,0.007024793,0.001411006,0.004183225,0.002266172,0.005132991,0.001424791,0.000818666,0.000200763,0.001025641
Anaerococcus,0,0,0,0,0.000202184,0,0.000827815,0.024513776,0.008502024,0.002628918,0,0.001209434,0.026354319,0.02039555,0.060662622,0.008141665,0,0.001606103,0.001435897
Ochrobactrum,0.005309735,0,0,0,0.001819652,0.000201167,0.003725166,0,0.000202429,0.000202224,0.002892562,0.001612578,0.000627484,0.001854141,0.006999533,0.000407083,0.004297994,0.000200763,0.004307692
Sneathia,0,0,0,0.344744745,0,0.000201167,0,0,0,0,0,0,0,0,0,0,0,0.264404738,0
